ID,實售總頭數,合計市場磅重,實售總金額,每磅平均金額,每隻平均磅數
6660,99.6,9201.193333333333,764289.3333333334,83.0777117416774,92.38467213632929
6661,99.8695652173913,9224.93043478261,782561.9565217391,84.83599716531296,92.36853315766362
6663,99.88888888888889,9176.411111111109,751467.7407407408,81.98744395080558,91.85911800545134
6665,96.35714285714286,8702.558928571429,726889.5714285715,83.6042874118939,90.28548496099609
6666,100.0,9305.982978723407,770429.4042553192,82.92854641105654,93.05742124850782
6668,93.33333333333333,8636.837777777779,714939.6666666666,82.97074950819368,92.51957777777778
6669,54.829268292682926,4998.4951219512195,421892.8048780488,84.39841984210128,91.33798119321638
6670,61.37623762376238,5817.1821782178195,476860.9900990099,82.5348778825405,94.6242127212721
6672,97.78260869565217,8963.923188405799,745301.3623188406,83.247080014702,91.6343771043771
6676,81.36170212765957,7452.9659574468105,624662.8297872341,83.97034526606221,91.5944669030733
6677,82.92307692307692,7721.292307692309,639141.4175824176,82.72413321285173,93.0878686602338
6678,53.481818181818184,5178.17909090909,420398.0909090909,81.39381650855958,96.71889136775916
6680,49.8,4847.16,384984.6,79.57195572703986,97.29978775510203
6681,66.12121212121212,6050.172727272726,503274.7878787879,83.07672807388873,91.44905211775556
6682,82.32380952380953,7267.648571428565,600046.5142857142,82.47615151015151,88.36923481382381
6683,78.78260869565217,7301.359782608695,617059.1195652174,84.40017665005864,92.57134475186653
